"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 05, 2020","5,638.13","5,688.78","5,715.94","5,613.72","4.07B","-0.21%"
"Mar 04, 2020","5,650.14","5,524.09","5,651.85","5,516.81","4.53B","2.38%"
"Mar 03, 2020","5,518.63","5,431.30","5,545.77","5,431.30","4.30B","2.94%"
"Mar 02, 2020","5,361.25","5,455.05","5,491.13","5,354.62","4.02B","-1.68%"
"Feb 28, 2020","5,452.70","5,436.17","5,456.28","5,288.37","4.96B","-1.50%"
"Feb 27, 2020","5,535.69","5,680.44","5,684.29","5,526.82","4.13B","-2.69%"
"Feb 26, 2020","5,688.92","5,757.17","5,757.74","5,688.92","3.95B","-1.70%"
"Feb 25, 2020","5,787.14","5,784.74","5,814.68","5,752.33","3.95B","-0.34%"
"Feb 24, 2020","5,807.05","5,846.15","5,863.12","5,787.92","4.00B","-1.28%"
"Feb 21, 2020","5,882.25","5,940.79","5,944.21","5,873.73","3.67B","-1.01%"
"Feb 20, 2020","5,942.49","5,941.45","5,960.71","5,929.15","3.74B","0.23%"
"Feb 19, 2020","5,928.79","5,898.90","5,928.79","5,898.70","3.45B","0.71%"
"Feb 18, 2020","5,886.96","5,856.88","5,907.14","5,855.92","3.46B","0.33%"
"Feb 17, 2020","5,867.52","5,863.91","5,878.46","5,853.60","2.87B","0.01%"
"Feb 14, 2020","5,866.94","5,857.72","5,890.03","5,843.43","2.77B","-0.09%"
"Feb 13, 2020","5,871.95","5,921.91","5,929.50","5,860.25","3.32B","-0.70%"
"Feb 12, 2020","5,913.08","5,957.06","5,962.35","5,895.72","2.93B","-0.69%"
"Feb 11, 2020","5,954.40","5,963.55","5,979.57","5,945.05","3.37B","0.04%"
"Feb 10, 2020","5,952.08","5,993.38","5,996.47","5,937.38","3.43B","-0.79%"
"Feb 07, 2020","5,999.61","5,988.06","6,004.81","5,981.64","3.53B","0.21%"
"Feb 06, 2020","5,987.15","6,002.92","6,013.70","5,969.48","3.99B","0.14%"
"Feb 05, 2020","5,978.51","5,955.52","5,978.51","5,924.37","3.98B","0.95%"
"Feb 04, 2020","5,922.34","5,947.51","5,952.95","5,911.38","3.62B","0.65%"
"Feb 03, 2020","5,884.17","5,920.97","5,942.78","5,877.20","3.50B","-0.94%"
"Jan 31, 2020","5,940.05","6,076.46","6,078.93","5,937.02","4.15B","-1.94%"
"Jan 30, 2020","6,057.60","6,130.10","6,130.80","6,048.88","3.49B","-0.91%"
"Jan 29, 2020","6,113.04","6,123.10","6,152.59","6,102.80","3.46B","0.03%"
"Jan 28, 2020","6,111.18","6,110.22","6,112.83","6,065.12","4.21B","-0.36%"
"Jan 27, 2020","6,133.21","6,240.82","6,242.18","6,130.93","4.37B","-1.78%"
"Jan 24, 2020","6,244.11","6,242.83","6,258.85","6,234.83","3.88B","-0.08%"
"Jan 23, 2020","6,249.21","6,244.00","6,255.04","6,229.13","4.13B","0.25%"
"Jan 22, 2020","6,233.45","6,241.58","6,265.51","6,223.19","5.11B","-0.08%"
"Jan 21, 2020","6,238.15","6,252.00","6,257.88","6,226.06","4.19B","-0.11%"
"Jan 20, 2020","6,245.04","6,310.50","6,312.99","6,240.19","3.88B","-0.74%"
"Jan 17, 2020","6,291.66","6,293.78","6,301.48","6,266.93","3.76B","0.09%"
"Jan 16, 2020","6,286.05","6,275.96","6,299.54","6,255.49","4.21B","0.04%"
"Jan 15, 2020","6,283.37","6,326.17","6,348.53","6,255.50","5.11B","-0.66%"
"Jan 14, 2020","6,325.41","6,308.89","6,325.41","6,298.61","4.45B","0.46%"
"Jan 13, 2020","6,296.57","6,287.91","6,297.78","6,269.48","4.40B","0.34%"
"Jan 10, 2020","6,274.94","6,287.17","6,295.37","6,271.98","5.22B","0.01%"
"Jan 09, 2020","6,274.49","6,248.66","6,274.49","6,238.98","4.19B","0.78%"
"Jan 08, 2020","6,225.69","6,248.44","6,250.12","6,218.13","4.46B","-0.85%"
"Jan 07, 2020","6,279.35","6,272.22","6,284.89","6,246.13","3.94B","0.35%"
"Jan 06, 2020","6,257.40","6,293.50","6,300.44","6,252.63","4.14B","-1.04%"
"Jan 03, 2020","6,323.47","6,306.19","6,323.47","6,287.71","4.46B","0.63%"
"Jan 02, 2020","6,283.58","6,313.13","6,317.01","6,263.68","3.30B","-0.25%"
